,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_batch_size,param_dropout_rate,param_epochs,param_optimizer,param_weight_constraint,params,rank_test_score,split0_test_score,split0_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,34.740062,29.63289618,0.9288963052,0.9330797626,10,0,1,Nadam,1,"{'epochs': 1, 'dropout_rate': 0.0, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 1}",22,0.9288963052,0.9330797626,0,0,0,0
1,43.32825589,26.90611601,0.9265064813,0.9294819011,10,0,1,Nadam,2,"{'epochs': 1, 'dropout_rate': 0.0, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 2}",25,0.9265064813,0.9294819011,0,0,0,0
2,41.47879601,26.71907306,0.9324424957,0.9336965382,10,0,1,Nadam,3,"{'epochs': 1, 'dropout_rate': 0.0, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 3}",20,0.9324424957,0.9336965382,0,0,0,0
3,41.25344181,31.21061015,0.9338044386,0.9382195653,10,0,1,Nadam,4,"{'epochs': 1, 'dropout_rate': 0.0, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 4}",15,0.9338044386,0.9382195653,0,0,0,0
4,42.16703892,29.82168293,0.9322626167,0.9384251571,10,0,1,Nadam,5,"{'epochs': 1, 'dropout_rate': 0.0, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 5}",21,0.9322626167,0.9384251571,0,0,0,0
5,42.114043,28.82945514,0.9062572197,0.9049136444,10,0.1,1,Nadam,1,"{'epochs': 1, 'dropout_rate': 0.1, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 1}",29,0.9062572197,0.9049136444,0,0,0,0
6,43.97925115,29.81814599,0.933418983,0.9382195652,10,0.1,1,Nadam,2,"{'epochs': 1, 'dropout_rate': 0.1, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 2}",17,0.933418983,0.9382195652,0,0,0,0
7,41.73131895,31.30588889,0.9338815294,0.9396587101,10,0.1,1,Nadam,3,"{'epochs': 1, 'dropout_rate': 0.1, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 3}",14,0.9338815294,0.9396587101,0,0,0,0
8,41.14833808,29.35337687,0.9334960743,0.9386307492,10,0.1,1,Nadam,4,"{'epochs': 1, 'dropout_rate': 0.1, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 4}",16,0.9334960743,0.9386307492,0,0,0,0
9,41.24881387,28.94382191,0.9371964471,0.9408922627,10,0.1,1,Nadam,5,"{'epochs': 1, 'dropout_rate': 0.1, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 5}",1,0.9371964471,0.9408922627,0,0,0,0
10,40.43187618,28.03403783,0.8894513609,0.8887746639,10,0.2,1,Nadam,1,"{'epochs': 1, 'dropout_rate': 0.2, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 1}",30,0.8894513609,0.8887746639,0,0,0,0
11,40.75072813,31.98790693,0.9283566675,0.9268092026,10,0.2,1,Nadam,2,"{'epochs': 1, 'dropout_rate': 0.2, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 2}",24,0.9283566675,0.9268092026,0,0,0,0
12,41.74972296,31.78520513,0.9348066229,0.9400698941,10,0.2,1,Nadam,3,"{'epochs': 1, 'dropout_rate': 0.2, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 3}",7,0.9348066229,0.9400698941,0,0,0,0
13,43.87862897,33.45897102,0.9345496525,0.9408922634,10,0.2,1,Nadam,4,"{'epochs': 1, 'dropout_rate': 0.2, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 4}",9,0.9345496525,0.9408922634,0,0,0,0
14,41.517766,28.93971395,0.934806623,0.9393503218,10,0.2,1,Nadam,5,"{'epochs': 1, 'dropout_rate': 0.2, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 5}",6,0.934806623,0.9393503218,0,0,0,0
15,42.38767099,28.85433793,0.9178465813,0.9156044333,10,0.3,1,Nadam,1,"{'epochs': 1, 'dropout_rate': 0.3, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 1}",26,0.9178465813,0.9156044333,0,0,0,0
16,42.7773819,30.27007413,0.935037896,0.9380139733,10,0.3,1,Nadam,2,"{'epochs': 1, 'dropout_rate': 0.3, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 2}",5,0.935037896,0.9380139733,0,0,0,0
17,43.28750205,32.61454606,0.9346524404,0.9360608477,10,0.3,1,Nadam,3,"{'epochs': 1, 'dropout_rate': 0.3, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 3}",8,0.9346524404,0.9360608477,0,0,0,0
18,42.4894011,32.41416001,0.9363227476,0.939864302,10,0.3,1,Nadam,4,"{'epochs': 1, 'dropout_rate': 0.3, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 4}",2,0.9363227476,0.939864302,0,0,0,0
19,41.46246815,30.82386088,0.9356546248,0.9389391373,10,0.3,1,Nadam,5,"{'epochs': 1, 'dropout_rate': 0.3, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 5}",3,0.9356546248,0.9389391373,0,0,0,0
20,41.9470222,28.27324581,0.9091866815,0.9077919336,10,0.4,1,Nadam,1,"{'epochs': 1, 'dropout_rate': 0.4, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 1}",28,0.9091866815,0.9077919336,0,0,0,0
21,42.51517606,33.55982089,0.9325452838,0.9319490053,10,0.4,1,Nadam,2,"{'epochs': 1, 'dropout_rate': 0.4, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 2}",19,0.9325452838,0.9319490053,0,0,0,0
22,47.04579711,31.44971585,0.934318379,0.9362664398,10,0.4,1,Nadam,3,"{'epochs': 1, 'dropout_rate': 0.4, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 3}",10,0.934318379,0.9362664398,0,0,0,0
23,42.79349303,31.55266905,0.9353719575,0.9389391375,10,0.4,1,Nadam,4,"{'epochs': 1, 'dropout_rate': 0.4, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 4}",4,0.9353719575,0.9389391375,0,0,0,0
24,41.58099604,32.02762079,0.9328279514,0.9373971969,10,0.4,1,Nadam,5,"{'epochs': 1, 'dropout_rate': 0.4, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 5}",18,0.9328279514,0.9373971969,0,0,0,0
25,42.01223493,32.52773309,0.9128099629,0.9108758151,10,0.5,1,Nadam,1,"{'epochs': 1, 'dropout_rate': 0.5, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 1}",27,0.9128099629,0.9108758151,0,0,0,0
26,41.91953802,31.41968107,0.9341385,0.9374999929,10,0.5,1,Nadam,2,"{'epochs': 1, 'dropout_rate': 0.5, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 2}",11,0.9341385,0.9374999929,0,0,0,0
27,43.03580117,29.36854696,0.9340614086,0.9371916045,10,0.5,1,Nadam,3,"{'epochs': 1, 'dropout_rate': 0.5, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 3}",12,0.9340614086,0.9371916045,0,0,0,0
28,41.49407196,30.983634,0.928844911,0.9276315715,10,0.5,1,Nadam,4,"{'epochs': 1, 'dropout_rate': 0.5, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 4}",23,0.928844911,0.9276315715,0,0,0,0
29,40.35978889,34.36062098,0.9340357118,0.9347244989,10,0.5,1,Nadam,5,"{'epochs': 1, 'dropout_rate': 0.5, 'optimizer': 'Nadam', 'batch_size': 10, 'weight_constraint': 5}",13,0.9340357118,0.9347244989,0,0,0,0