,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_batch_size,param_epochs,param_neurons,param_optimizer,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,103.4011327,21.98690065,0.9299241864,0.9340049269,10,16,1,Adadelta,"{'epochs': 16, 'neurons': 1, 'optimizer': 'Adadelta', 'batch_size': 10}",76,0.9303610362,0.9364720325,0.9318257666,0.9373971971,0.9303353385,0.9396587097,5.808629108,0.7335676559,0.0006966165553,0.001338543138
1,187.3576381,27.63890322,0.9325110209,0.9367804205,10,16,5,Adadelta,"{'epochs': 16, 'neurons': 5, 'optimizer': 'Adadelta', 'batch_size': 10}",67,0.9339072266,0.9374999931,0.9333418917,0.9395559147,0.9327765568,0.9426397957,2.258496564,0.7693703636,0.0004615940222,0.002112258041
2,213.4746653,28.15466626,0.9335046395,0.9384936882,10,16,10,Adadelta,"{'epochs': 16, 'neurons': 10, 'optimizer': 'Adadelta', 'batch_size': 10}",61,0.927894121,0.9299958807,0.9298213983,0.9381167695,0.9174611253,0.9249588746,2.609463385,0.7716763793,0.005429734457,0.005420644306
3,272.1256944,34.61967397,0.9335132051,0.9385622189,10,16,15,Adadelta,"{'epochs': 16, 'neurons': 15, 'optimizer': 'Adadelta', 'batch_size': 10}",60,0.9291275787,0.9311266375,0.9310291588,0.9346217034,0.9296158217,0.9362664398,1.445783969,0.4765368172,0.0008063573506,0.002143159931
4,283.8848221,34.88867291,0.9344725612,0.9399670982,10,16,20,Adadelta,"{'epochs': 16, 'neurons': 20, 'optimizer': 'Adadelta', 'batch_size': 10}",58,0.9379416609,0.9476768024,0.9361171711,0.9492187433,0.9348580162,0.949424335,2.502555194,1.37035466,0.001265925171,0.0007798660721
5,333.1070083,34.47719145,0.9339500548,0.9398643022,10,16,25,Adadelta,"{'epochs': 16, 'neurons': 25, 'optimizer': 'Adadelta', 'batch_size': 10}",59,0.9335988621,0.936472032,0.9331363154,0.9385279539,0.9312347346,0.9412006505,0.4221829803,1.499638543,0.001023016127,0.001935916509
6,353.31226,42.62613829,0.9354918767,0.9414405081,10,16,30,Adadelta,"{'epochs': 16, 'neurons': 30, 'optimizer': 'Adadelta', 'batch_size': 10}",52,0.9334960741,0.9528166056,0.9355261394,0.9536389742,0.9346524401,0.9512746638,3.427691679,0.161880944,0.0008314443855,0.0009800134745
7,345.9983687,42.32541506,0.9358858979,0.9421600805,10,16,35,Adadelta,"{'epochs': 16, 'neurons': 35, 'optimizer': 'Adadelta', 'batch_size': 10}",48,0.9326737691,0.9326685785,0.9330078304,0.9396587099,0.9303867327,0.9394531175,4.104881565,0.1034781163,0.001164869371,0.003247805621
8,348.758191,42.05339026,0.9351749467,0.9417831618,10,16,40,Adadelta,"{'epochs': 16, 'neurons': 40, 'optimizer': 'Adadelta', 'batch_size': 10}",55,0.9361685656,0.9392475259,0.9358858979,0.9443873289,0.9339586203,0.9420230191,5.436562343,0.5461870995,0.0009819571205,0.002100552774
9,391.5562599,47.74886608,0.9361942623,0.9424684689,10,16,45,Adadelta,"{'epochs': 16, 'neurons': 45, 'optimizer': 'Adadelta', 'batch_size': 10}",47,0.9346010466,0.9399670984,0.9350892898,0.9436677564,0.9364255352,0.9453124928,2.948704575,0.4458989671,0.0007711961945,0.002235403751
10,403.3536712,51.73249404,0.9365111924,0.942776857,10,16,50,Adadelta,"{'epochs': 16, 'neurons': 50, 'optimizer': 'Adadelta', 'batch_size': 10}",44,0.93344468,0.9351356838,0.932879345,0.9363692364,0.9312090376,0.9388363412,2.894343883,0.7182502973,0.000949129845,0.001538510225